CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,CLASIFICACION_ESTABLECIMIENTO,DIRECCION,TELEFONO_1,TELEFONO_2,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,STATUS_num,MODALIDAD_num,JORNADA_num,PLAN_num,DEPARTAMENTAL_num
15-01-0162-46,15-030,BAJA VERAPAZ,SALAMA,instituto nacional de educacion diversificada,instituto,aldea el tempisque,58578688,sin telefono,Nelson Joel Hernandez Hernandez,KENDY MELANYHA SILVESTRE BOL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-01-0172-46,15-024,BAJA VERAPAZ,SALAMA,centro de educacion extraescolar ceex,centro educativo,"2a. calle, zona 1",54887718,sin telefono,Vivian Veronica Prera Noguera,ALONDRA VANESSA VALEY IXPATÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,0,3,1
15-01-0174-46,15-024,BAJA VERAPAZ,SALAMA,programa nacional de educacion alternativa pronea,otro,11 avenida 1-99 zona 6,42159922,sin telefono,Vivian Veronica Prera Noguera,VIVIAN VERÓNICA PRERA NOGUERA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,BAJA VERAPAZ,0,1,0,0,1
15-01-0177-46,15-001,BAJA VERAPAZ,SALAMA,colegio particular mixto tezulutlan,colegio,"diagonal 4, 1-24, zona 2",79400182,sin telefono,Edgar Leonel Ramirez Gonzalez,ELIA NÍVEA LÓPEZ GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-01-0178-46,15-001,BAJA VERAPAZ,SALAMA,colegio particular mixto ciencia y desarrollo,colegio,"ruta 4 12-68, zona 5, barrio santa elena",79540909,sin telefono,Edgar Leonel Ramirez Gonzalez,ELGI WALTER BOTEO GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-01-0180-46,15-001,BAJA VERAPAZ,SALAMA,colegio particular mixto de infantes emanuel,colegio,"5a. avenida 6-31, zona 1",79540849,sin telefono,Edgar Leonel Ramirez Gonzalez,MARIA CONCEPCION MORALES ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-01-0182-46,15-030,BAJA VERAPAZ,SALAMA,centro estudiantil miguel angel asturias,centro educativo,"ruta 4, zona 5, barrio santa elena",56913283,sin telefono,Nelson Joel Hernandez Hernandez,JORGE EMILIO SOTO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-01-0185-46,15-024,BAJA VERAPAZ,SALAMA,centro de educacion extraescolar ceex departamental,centro educativo,"11avenida 1-99, zona 6",33595715,sin telefono,Vivian Veronica Prera Noguera,ELDER WILFREDO MENDOZA RODRÍGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,0,3,1
15-01-0188-46,15-030,BAJA VERAPAZ,SALAMA,instituto tecnico experimental de formacion industrial por cooperativa itefic,instituto,"barrio el calvario, sector las tejeras",58122084,sin telefono,Nelson Joel Hernandez Hernandez,NYDIA ROSSIBELL CHAVARRIA HERRERA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-01-1274-46,15-030,BAJA VERAPAZ,SALAMA,instituto nacional de administracion de empresas,instituto,"5a. avenida 4-74, zona 1 barrio centro",79545075,sin telefono,Nelson Joel Hernandez Hernandez,LAZARO ENRIQUE ORTIZ CHACÓN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-01-1480-46,15-030,BAJA VERAPAZ,SALAMA,instituto tecnico experimental de formacion industrial por cooperativa itefic,instituto,"barrio el calvario, sector las tejeras",58122084,sin telefono,Nelson Joel Hernandez Hernandez,NYDIA ROSSIBELL CHAVARRIA HERRERA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),BAJA VERAPAZ,0,1,0,1,1
15-01-1732-46,25-000,BAJA VERAPAZ,SALAMA,instituto guatemalteco de educacion radiofonica (iger),instituto,salama,sin telefono,sin telefono,Sonia Haydee Reyes Monterroso,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,BAJA VERAPAZ,1,1,1,0,1
15-01-1754-46,15-001,BAJA VERAPAZ,SALAMA,instituto normal de primaria bilingue intercultural ads. a escuela normal rural no.4 dr. elizardo urizar leal,escuela,13 avenida 7-41 zona 2 barrio hacienda de la virgen,56169841,sin telefono,Edgar Leonel Ramirez Gonzalez,RODOLFO  COJÓN ISMALEJ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,0,1,1,1
15-01-1852-46,15-001,BAJA VERAPAZ,SALAMA,escuela normal de educacion fisica,escuela,"2da avenida 6-89 zona 1, interior villa deportiva",48521191,sin telefono,Edgar Leonel Ramirez Gonzalez,EVA LISETH REYES GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),BAJA VERAPAZ,0,1,0,1,1
15-01-1947-46,15-001,BAJA VERAPAZ,SALAMA,colegio particular mixto de infantes emanuel,colegio,5av. 6-31 zona 1,37608626,sin telefono,Edgar Leonel Ramirez Gonzalez,MARIA CONCEPCION MORALES ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-01-1948-46,15-001,BAJA VERAPAZ,SALAMA,instituto de educacion diversificada por cooperativa,instituto,diagonal 4 12-48 zona 5,sin telefono,sin telefono,Edgar Leonel Ramirez Gonzalez,,DIVERSIFICADO,COOPERATIVA,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ,1,1,2,1,1
15-01-2023-46,15-001,BAJA VERAPAZ,SALAMA,colegio particular mixto tezulutlan,colegio,"diagonal 4, 1-24 zona 2",79400182,sin telefono,Edgar Leonel Ramirez Gonzalez,ELIA NÍVEA LÓPEZ GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-01-2164-46,15-001,BAJA VERAPAZ,SALAMA,colegio particular mixto de infantes emanuel,colegio,barrio agua caliente,79540899,sin telefono,Edgar Leonel Ramirez Gonzalez,MARIA CONCEPCION MORALES ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,1,1,0,2,1
15-02-0023-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,aldea san gabriel pantzuj,59934015,sin telefono,Wilson Estuardo Canahui Ja,MYNOR ESTUARDO BACHÁN PÉREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-02-0058-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,canton san juan,46782645,sin telefono,Wilson Estuardo Canahui Ja,OLIVIA MARGARITA CANAHUÍ JÁ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-02-0059-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular bautista mixto,colegio,canton la cruz,56903927,sin telefono,Wilson Estuardo Canahui Ja,RUDY ZOEL RODRÍGUEZ XITUMUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-02-0094-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,aldea san francisco,40407799,sin telefono,Wilson Estuardo Canahui Ja,WALTER OSEAS ORTIZ SIS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-02-0100-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,centro educativo tecnologico el nazareno,centro educativo,aldea san gabriel pantzuj,57521552,sin telefono,Wilson Estuardo Canahui Ja,YÓNATHAN AZAEL GARCÍA TOJ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-02-0107-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular bautista mixto,colegio,canton la cruz,56903927,sin telefono,Wilson Estuardo Canahui Ja,RUDY ZOEL RODRÍGUEZ XITUMUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-02-0109-46,15-006,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio privado mixto nazareno,colegio,canton la cruz,42040713,sin telefono,Hugo Ramiro Gonzalez Canahui,DANIO VINICIO CUXÚN GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,1,1,1,1,1
15-02-0111-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,caserio chupel,57831873,sin telefono,Wilson Estuardo Canahui Ja,SATURNINO CELEDONIO IXTECOC CUQUEJ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-02-0117-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular mixto nuevo amanecer,colegio,aldea san gabriel,42559525,sin telefono,Wilson Estuardo Canahui Ja,RONALDO  MORALES SIS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-02-0118-46,15-032,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular mixto nuevo amanecer,colegio,aldea san gabriel,42559525,sin telefono,Flori Amalia Perez Pocop De Bolvito,RONALDO MORALES SIS,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ,1,1,2,1,1
15-02-0119-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular mixto nuevo amanecer,colegio,aldea san gabriel,42559525,sin telefono,Wilson Estuardo Canahui Ja,RONALDO  MORALES SIS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-02-0122-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,centro educativo tecnologico el nazareno,centro educativo,aldea san gabriel pantzuj,41078285,sin telefono,Wilson Estuardo Canahui Ja,HENRY OSVELÍ CANAHUÍ XITUMUL,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-02-0125-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,aldea chicholon,46748901,sin telefono,Wilson Estuardo Canahui Ja,WILLIAM ESTUARDO AVILA CORDOVA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-02-0126-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,aldea san rafael,32053375,sin telefono,Wilson Estuardo Canahui Ja,REYNA AMALIA ROJAS GALIEGO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-02-0129-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,aldea el progreso,58592232,sin telefono,Wilson Estuardo Canahui Ja,HAROLD ARDANY MEJÍA ESTRADA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-02-0131-46,15-024,BAJA VERAPAZ,SAN MIGUEL CHICAJ,centro de educacion extraescolar ceex,centro educativo,canton san juan,54887718,sin telefono,Vivian Veronica Prera Noguera,ALONDRA VANESSA VALEY IXPATÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,0,3,1
15-02-0132-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,instituto nacional de educacion diversificada,instituto,aldea santo domingo santa rita,54772055,sin telefono,Wilson Estuardo Canahui Ja,SANDRA MARIBEL JERÓNIMO XITUMUL DE XITUMUL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-02-0135-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular bautista mixto,colegio,canton la cruz,56903927,sin telefono,Wilson Estuardo Canahui Ja,RUDY ZOEL RODRÍGUEZ XITUMUL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-02-0138-46,15-034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio particular mixto nuevo amanecer,colegio,aldea san gabriel pantzuj,42559525,sin telefono,Wilson Estuardo Canahui Ja,RONALDO  MORALES SIS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-02-2035-46,15-006,BAJA VERAPAZ,SAN MIGUEL CHICAJ,colegio mixto privado san jose de betancur (por madurez),colegio,canton san juan,sin telefono,sin telefono,Hugo Ramiro Gonzalez Canahui,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,1,1,0,2,1
15-03-0046-46,15-031,BAJA VERAPAZ,RABINAL,instituto nacional de educacion diversificada,instituto,2a. calle y 4a. avenida zona 3 frente al campo de aviacion,47050351,sin telefono,Edgar Ovidio Sic Xitumul,ODILIA MIRTALA GÓMEZ JUÁREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-03-0059-46,15-031,BAJA VERAPAZ,RABINAL,colegio particular mixto santo domingo,colegio,4a. avenida entre 3a. y 4a. calle zona 2,79388037,sin telefono,Edgar Ovidio Sic Xitumul,ARABELA CONSUELO IXPATÁ AJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-03-0060-46,15-031,BAJA VERAPAZ,RABINAL,colegio particular mixto santo domingo,colegio,4a. avenida entre 3a. y 4a. calle zona 2,79388037,sin telefono,Edgar Ovidio Sic Xitumul,ARABELA CONSUELO IXPATÁ AJ DE CASTRO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,1,1,0,2,1
15-03-0062-46,15-006,BAJA VERAPAZ,RABINAL,colegio particular mixto santo domingo,colegio,4a. avenida entre 3a. y 4a. calle zona 2,79388037,sin telefono,Hugo Ramiro Gonzalez Canahui,ANA MARIA VICTORIA XITUMUL PIOX,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,1,1,0,2,1
15-03-0070-46,15-031,BAJA VERAPAZ,RABINAL,centro educativo comunitario bilingue intercultural nueva esperanza rio negro,centro educativo,"caserio corrolabaj, aldea chiticoy",79388218,sin telefono,Edgar Ovidio Sic Xitumul,OLGA MARINA SICAL ALVARADO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-03-0076-46,15-031,BAJA VERAPAZ,RABINAL,enbi oxlajuj no oj,otro,aldea pachalum,55322450,sin telefono,Edgar Ovidio Sic Xitumul,PETRONILA  MORALES ROMAN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,0,1,1,1
15-03-0085-46,15-031,BAJA VERAPAZ,RABINAL,instituto nacional de educacion diversificada,instituto,aldea concul,56376500,sin telefono,Edgar Ovidio Sic Xitumul,FREDY OTONIEL RAYMUNDO RODRIGUEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-03-0092-46,15-031,BAJA VERAPAZ,RABINAL,instituto nacional de educacion diversificada,instituto,"caserio plan de sanchez, aldea raxjut",56904739,sin telefono,Edgar Ovidio Sic Xitumul,IRMA YOLANDA TIX CHEN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-03-0134-46,,BAJA VERAPAZ,RABINAL,liceo privado mixto de ciencias comerciales rabinal achi,liceo,3a. avenida 1-55 zona 3,sin telefono,sin telefono,sin supervisor,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,1,1,4,1,1
15-03-0141-46,15-031,BAJA VERAPAZ,RABINAL,colegio particular mixto vida nueva,colegio,"4ta. avenida 1-83, zona 2",47406365,sin telefono,Edgar Ovidio Sic Xitumul,EMILIA MARLENY GONZALEZ TORRES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-03-0143-46,15-031,BAJA VERAPAZ,RABINAL,colegio integral nueva generacion,colegio,"1a. calle 7-17, zona 2",79388194,sin telefono,Edgar Ovidio Sic Xitumul,GERMAN  RAXCACÓ GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-03-0145-46,15-031,BAJA VERAPAZ,RABINAL,centro educativo estudiantil con orientacion en computacion,centro educativo,"3a. calle 5-41, zona 2",47477455,sin telefono,Edgar Ovidio Sic Xitumul,FÉLIX  ISMALEJ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-03-0778-46,15-031,BAJA VERAPAZ,RABINAL,centro cultural de america,centro educativo,3 calle 2-87 zona 2,79388718,sin telefono,Edgar Ovidio Sic Xitumul,FABIO  RAXCACO ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-03-1794-46,15-031,BAJA VERAPAZ,RABINAL,colegio mixto privado maria esmeralda,colegio,"2a. calle y 5a. avenida , zona 4",sin telefono,sin telefono,Edgar Ovidio Sic Xitumul,PEM. ZOILA CÁNDIDA LUNA PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,1,1,4,1,1
15-03-1795-46,15-031,BAJA VERAPAZ,RABINAL,centro educativo medalla milagrosa,centro educativo,4a. avenida 1-83 zona 2,56109620,sin telefono,Edgar Ovidio Sic Xitumul,MARÍA AGRIPINA CUJÁ JERÓNIMO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,1,1,4,1,1
15-03-1888-46,15-031,BAJA VERAPAZ,RABINAL,centro cultural de america,centro educativo,3era. calle 2-87 zona 2,79388718,sin telefono,Edgar Ovidio Sic Xitumul,FABIO  RAXCACO ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-03-1963-46,15-031,BAJA VERAPAZ,RABINAL,colegio mixto zamaneb,colegio,2da. calle 2-15 zona 1,79388962,sin telefono,Edgar Ovidio Sic Xitumul,OSCAR ARMANDO GUZMÁN MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-03-2050-46,15-031,BAJA VERAPAZ,RABINAL,enbi oxlajuj no oj,otro,aldea pachalum,36596040,sin telefono,Edgar Ovidio Sic Xitumul,PETRONILA  MORALES ROMAN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,DOBLE,DIARIO(REGULAR),BAJA VERAPAZ,0,0,0,1,1
15-03-2052-46,15-031,BAJA VERAPAZ,RABINAL,colegio mixto zamaneb,colegio,2da. calle 2-15 zona 1,79388962,sin telefono,Edgar Ovidio Sic Xitumul,JORGE RONALDO OLIVA GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-03-2150-46,15-031,BAJA VERAPAZ,RABINAL,colegio integral nueva generacion,colegio,1a. calle 7-17 zona 2,79388194,sin telefono,Edgar Ovidio Sic Xitumul,GERMAN  RAXCACÓ GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-04-0088-46,15-029,BAJA VERAPAZ,CUBULCO,centro educativo nueva esperanza,centro educativo,barrio magdalena,79545457,sin telefono,Hugo Mauricio Morales Morales,NORMA TELMA XITUMUL TOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-04-0089-46,15-029,BAJA VERAPAZ,CUBULCO,centro educativo nueva esperanza,centro educativo,barrio magdalena,79545457,sin telefono,Hugo Mauricio Morales Morales,JUAN  QUILÁ SANTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-04-0100-46,15-029,BAJA VERAPAZ,CUBULCO,instituto nacional de educacion diversificada,instituto,caserio chiruj,58012060,sin telefono,Hugo Mauricio Morales Morales,GASPAR ENRIQUE DE LA CRUZ PRIMERO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-04-0223-46,15-029,BAJA VERAPAZ,CUBULCO,instituto nacional de educacion diversificada,instituto,aldea pachojop,50624654,sin telefono,Hugo Mauricio Morales Morales,ELÍAS  CAMAJÁ CEBALLOS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-04-0231-46,15-029,BAJA VERAPAZ,CUBULCO,centro educativo nueva esperanza,centro educativo,barrio magdalena,79545457,sin telefono,Hugo Mauricio Morales Morales,ZOILA ESPERANZA RUÍZ CAMAJÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,1,1,1
15-04-0248-46,15-024,BAJA VERAPAZ,CUBULCO,centro de educacion extraescolar ceex,centro educativo,caserio chiruj,54887718,sin telefono,Vivian Veronica Prera Noguera,ALONDRA VANESSA VALEY IXPATÁ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,0,3,1
15-04-0252-46,15-029,BAJA VERAPAZ,CUBULCO,centro educativo nueva esperanza,centro educativo,barrio magdalena,79545457,sin telefono,Hugo Mauricio Morales Morales,JUAN  QUILÁ SANTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-04-0257-46,15-029,BAJA VERAPAZ,CUBULCO,centro educativo diego primero alonzo cedpa,centro educativo,barrio magdalena,50344461,sin telefono,Hugo Mauricio Morales Morales,ABELINO  PRIMERO CAMAJÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,BAJA VERAPAZ,0,1,3,3,1
15-04-0258-46,15-029,BAJA VERAPAZ,CUBULCO,centro educativo diego primero alonzo cedpa,centro educativo,barrio magdalena,50344461,sin telefono,Hugo Mauricio Morales Morales,ABELINO  PRIMERO CAMAJÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,0,1,0,2,1
15-04-0670-46,15-029,BAJA VERAPAZ,CUBULCO,colegio particular mixto nuevo amanecer,colegio,barrio magdalena,79540241,sin telefono,Hugo Mauricio Morales Morales,BYRON JOSÉ ALVARADO CABRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
15-05-0014-46,15-016,BAJA VERAPAZ,GRANADOS,instituto nacional de educacion diversificada,instituto,cabecera municipal,57678563,sin telefono,Jorge Arnoldo Alvarado Perez,ELIDO ARCENIO MAYÉN CÓRDOVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0,1,4,1,1
